image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
agenda_01.jpg,agenda,0.8666666666666667,0.975,0.9176470588235294,0.9555555555555556,0,0,
agenda_02.jpg,agenda,0.8888888888888888,1.0,0.9411764705882353,0.940983606557377,1,1,1.0
agenda_03.jpg,agenda,1.0,0.9772727272727273,0.9885057471264368,0.9959514170040485,3,3,1.0
agenda_04.jpg,agenda,0.9259259259259259,1.0,0.9615384615384615,0.9549071618037135,1,1,1.0
agenda_05.jpg,agenda,1.0,1.0,1.0,1.0,4,3,0.75
agenda_06.jpg,agenda,0.5789473684210527,1.0,0.7333333333333334,0.6723044397463002,1,2,1.0
agenda_07.jpg,agenda,1.0,0.9893617021276596,0.9946524064171123,0.9981916817359855,1,1,1.0
agenda_08.jpg,agenda,0.9942857142857143,1.0,0.9971346704871061,0.9939698492462311,0,1,
agenda_09.jpg,agenda,0.9461077844311377,1.0,0.9723076923076923,0.9712493465760585,3,5,1.0
agenda_10.jpg,agenda,0.6875,1.0,0.8148148148148148,0.895774647887324,0,0,
agenda_11.jpg,agenda,0.5483870967741935,1.0,0.7083333333333333,0.7159763313609467,0,0,
agenda_12.jpg,agenda,0.984375,0.984375,0.984375,0.9973262032085561,1,1,1.0
agenda_13.jpg,agenda,0.9358974358974359,0.9733333333333334,0.954248366013072,0.974308300395257,2,2,1.0
agenda_14.jpg,agenda,0.8968253968253969,1.0,0.9456066945606695,0.7815384615384615,3,3,1.0
agenda_15.jpg,agenda,0.9508196721311475,1.0,0.9747899159663865,0.9696541990119972,4,2,0.5
agenda_16.jpg,agenda,0.7804878048780488,0.7901234567901234,0.7852760736196319,0.9437314906219151,0,0,
agenda_17.jpg,agenda,1.0,1.0,1.0,1.0,4,4,1.0
agenda_18.jpg,agenda,0.8368794326241135,0.921875,0.8773234200743494,0.8051341890315052,1,1,1.0
agenda_19.jpg,agenda,0.56,1.0,0.717948717948718,0.5803108808290155,4,4,1.0
agenda_20.jpg,agenda,0.9878787878787879,1.0,0.9939024390243903,0.9951794322442421,1,1,1.0
agenda_21.jpg,agenda,0.865979381443299,1.0,0.9281767955801106,0.819538670284939,0,0,
agenda_22.jpg,agenda,0.888,0.9910714285714286,0.9367088607594937,0.9477858559153999,0,0,
agenda_23.jpg,agenda,0.9662162162162162,0.9930555555555556,0.9794520547945206,0.9795698924731183,1,1,1.0
form_01.jpg,form,0.9244604316546763,0.9081272084805654,0.9162210338680927,0.733764553686934,2,2,1.0
form_02.jpg,form,0.2,1.0,0.33333333333333337,0.367816091954023,0,0,
form_03.jpg,form,0.9767441860465116,0.8527918781725888,0.910569105691057,0.7869003690036901,0,1,
form_04.jpg,form,0.9541984732824428,0.9328358208955224,0.9433962264150944,0.922077922077922,1,2,1.0
form_05.jpg,form,0.9015151515151515,0.9130434782608695,0.9072426937738246,0.5836909871244635,0,0,
form_06.jpg,form,0.016666666666666666,1.0,0.03278688524590164,0.03064755313890262,1,1,1.0
form_07.jpg,form,0.9347826086956522,0.9084507042253521,0.9214285714285715,0.8756756756756757,0,0,
form_08.jpg,form,0.8654292343387471,0.8477272727272728,0.8564867967853043,0.8960721668859237,1,1,1.0
form_09.jpg,form,0.9609756097560975,1.0,0.9800995024875622,0.510811913504692,4,4,1.0
form_10.jpg,form,0.8299319727891157,0.8905109489051095,0.8591549295774649,0.8858520900321544,4,5,1.0
form_11.jpg,form,0.6267281105990783,0.9577464788732394,0.757660167130919,0.43367122080211545,2,1,0.5
form_12.jpg,form,0.679144385026738,0.9407407407407408,0.7888198757763976,0.5068285280728376,1,1,1.0
form_13.jpg,form,0.9270833333333334,0.8929765886287625,0.9097103918228279,0.7927142124166239,1,5,1.0
form_14.jpg,form,0.975609756097561,0.9907120743034056,0.9831029185867896,0.9854872149274361,1,1,1.0
form_15.jpg,form,0.8897243107769424,0.8722358722358723,0.880893300248139,0.5877845391029975,2,3,1.0
form_16.jpg,form,0.18834080717488788,0.9545454545454546,0.3146067415730337,0.31905007743933916,0,0,
form_17.jpg,form,0.861271676300578,0.8097826086956522,0.8347338935574229,0.8714228133817009,1,5,1.0
form_18.jpg,form,0.922077922077922,1.0,0.9594594594594594,0.9591078066914498,0,0,
form_19.jpg,form,0.3655913978494624,0.9855072463768116,0.5333333333333333,0.3961617546264565,0,0,
form_20.jpg,form,0.9415204678362573,0.92,0.930635838150289,0.9210275927687916,4,5,1.0
form_21.jpg,form,0.5874439461883408,1.0,0.7401129943502824,0.3845102505694761,0,0,
form_22.jpg,form,0.7555555555555555,0.13765182186234817,0.2328767123287671,0.06241053535642714,1,0,0.0
form_23.jpg,form,0.7591623036649214,0.7837837837837838,0.7712765957446809,0.7771377935312361,1,1,1.0
invoice_01.jpg,invoice,0.9655172413793104,0.875,0.9180327868852458,0.8051282051282052,1,1,1.0
invoice_02.jpg,invoice,0.9230769230769231,0.96,0.9411764705882353,0.996742671009772,1,1,1.0
invoice_03.jpg,invoice,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.8869565217391304,1,2,1.0
invoice_04.jpg,invoice,0.6458333333333334,0.9393939393939394,0.7654320987654321,0.7433264887063655,3,3,1.0
invoice_05.jpg,invoice,0.7094017094017094,0.9222222222222223,0.8019323671497586,0.7602905569007264,2,1,0.5
invoice_06.jpg,invoice,0.6888888888888889,0.96875,0.8051948051948051,0.8393194706994329,1,1,1.0
invoice_07.jpg,invoice,0.8936170212765957,0.8235294117647058,0.8571428571428571,0.9036334913112164,3,2,0.6666666666666666
invoice_08.jpg,invoice,0.6756756756756757,0.9615384615384616,0.7936507936507937,0.7542706964520368,1,2,1.0
invoice_09.jpg,invoice,0.6774193548387096,0.9545454545454546,0.7924528301886793,0.6359223300970874,1,1,1.0
invoice_10.jpg,invoice,0.7924528301886793,0.9767441860465116,0.875,0.7111111111111111,2,1,0.5
invoice_11.jpg,invoice,0.9607843137254902,1.0,0.98,0.3353028064992615,3,2,0.6666666666666666
invoice_12.jpg,invoice,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.8879492600422833,2,0,0.0
invoice_13.jpg,invoice,0.5,1.0,0.6666666666666666,0.6607669616519174,2,3,1.0
invoice_14.jpg,invoice,0.8666666666666667,0.896551724137931,0.8813559322033899,0.8219895287958116,1,1,1.0
invoice_15.jpg,invoice,0.9113924050632911,0.972972972972973,0.9411764705882353,0.3005893909626719,2,4,1.0
invoice_16.jpg,invoice,0.5573770491803278,0.8095238095238095,0.6601941747572815,0.5073313782991202,2,2,1.0
invoice_17.jpg,invoice,0.9672131147540983,1.0,0.9833333333333333,0.844632768361582,1,1,1.0
invoice_18.jpg,invoice,0.46153846153846156,0.96,0.6233766233766234,0.62,1,2,1.0
invoice_19.jpg,invoice,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.8917819365337672,1,2,1.0
invoice_20.jpg,invoice,0.8363636363636363,1.0,0.9108910891089108,0.8186119873817035,2,4,1.0
invoice_21.jpg,invoice,0.855072463768116,0.8939393939393939,0.8740740740740741,0.6590038314176245,2,2,1.0
invoice_22.jpg,invoice,0.9487179487179487,1.0,0.9736842105263158,0.9037837837837838,2,2,1.0
invoice_23.jpg,invoice,0.5733333333333334,0.8775510204081632,0.6935483870967741,0.4951856946354883,1,4,1.0
original_001.jpg,original,0.9240506329113924,0.8902439024390244,0.9068322981366461,0.95013357079252,1,1,1.0
original_002.jpg,original,0.9365079365079365,0.8872180451127819,0.9111969111969112,0.8156650911546253,1,1,1.0
original_003.jpg,original,0.972972972972973,0.9391304347826087,0.9557522123893805,0.996,0,0,
original_004.jpg,original,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9757914338919925,0,0,
original_005.jpg,original,0.7669902912621359,0.6869565217391305,0.7247706422018347,0.3466473008956669,0,0,
original_006.jpg,original,0.9851485148514851,0.9925187032418953,0.9888198757763975,0.9899522319222533,1,1,1.0
original_007.jpg,original,0.851063829787234,1.0,0.9195402298850576,0.5575757575757576,1,1,1.0
original_008.jpg,original,0.948051948051948,0.954248366013072,0.9511400651465798,0.9904225352112676,2,2,1.0
original_009.jpg,original,0.7677419354838709,0.7484276729559748,0.7579617834394904,0.6779074794638997,1,1,1.0
original_010.jpg,original,0.9328358208955224,0.9191176470588235,0.9259259259259259,0.9183673469387755,1,4,1.0
original_011.jpg,original,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.6007604562737643,1,1,1.0
report_01.jpg,report,0.39408866995073893,0.36036036036036034,0.37647058823529406,0.35780525502318394,1,2,1.0
report_02.jpg,report,0.9819277108433735,1.0,0.9908814589665653,0.9879032258064516,1,1,1.0
report_03.jpg,report,0.9537275064267352,0.961139896373057,0.9574193548387095,0.9780937740199847,2,2,1.0
report_04.jpg,report,1.0,1.0,1.0,1.0,1,1,1.0
report_05.jpg,report,0.8860759493670886,0.8695652173913043,0.8777429467084639,0.6585514303104077,1,0,0.0
report_06.jpg,report,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9168765743073047,1,1,1.0
report_07.jpg,report,1.0,1.0,1.0,1.0,1,1,1.0
report_08.jpg,report,0.8760330578512396,0.9814814814814815,0.9257641921397379,0.31540697674418605,2,2,1.0
report_09.jpg,report,0.7116883116883117,0.6284403669724771,0.6674786845310596,0.1119608442948914,3,1,0.3333333333333333
report_10.jpg,report,0.8269896193771626,0.6143958868894601,0.7050147492625368,0.9244060475161987,1,1,1.0
report_11.jpg,report,0.9737827715355806,0.9961685823754789,0.9848484848484848,0.9757155247181266,2,2,1.0
report_12.jpg,report,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9990300678952473,1,1,1.0
report_13.jpg,report,0.95,0.95,0.9500000000000001,0.996996996996997,1,1,1.0
report_14.jpg,report,0.8873239436619719,0.8289473684210527,0.8571428571428571,0.9911154985192497,1,1,1.0
report_15.jpg,report,0.9642857142857143,0.8181818181818182,0.8852459016393442,0.825065274151436,1,1,1.0
report_16.jpg,report,0.8762886597938144,1.0,0.9340659340659341,0.936267071320182,1,1,1.0
report_17.jpg,report,0.9455128205128205,0.9932659932659933,0.9688013136288999,0.9418244406196213,1,1,1.0
report_18.jpg,report,0.9973958333333334,0.9973958333333334,0.9973958333333334,0.9852028639618139,1,1,1.0
report_19.jpg,report,1.0,1.0,1.0,1.0,1,1,1.0
report_20.jpg,report,0.9782608695652174,1.0,0.989010989010989,0.9852941176470589,1,1,1.0
